"","X1","X2","muhat","Vhat"
"1",0.10536,0,0.110008,4e-06
"2",0.10536,0.1,0.117579,5e-06
"3",0.10536,0.2,0.12535,6e-06
"4",0.10536,0.3,0.133442,8e-06
"5",0.10536,0.4,0.141786,1.1e-05
"6",0.10536,0.5,0.150461,1.4e-05
"7",0.10536,0.6,0.159395,1.7e-05
"8",0.10536,0.7,0.168712,2.1e-05
"9",0.10536,0.8,0.177709,2.6e-05
"10",0.10536,0.9,0.188201,3.2e-05
"11",0.10536,1,0.197665,3.9e-05
"12",0.10536,1.1,0.207594,4.7e-05
"13",0.10536,1.2,0.219711,5.6e-05
"14",0.10536,1.3,0.22865,6.6e-05
"15",0.10536,1.4,0.24018,7.8e-05
"16",0.10536,1.5,0.253348,9.1e-05
"17",0.10536,1.6,0.263082,0.000106
"18",0.10536,1.7,0.277189,0.000122
"19",0.10536,1.8,0.288386,0.000141
"20",0.10536,1.9,0.300077,0.000161
"21",0.10536,2,0.314799,0.000183
"22",0.10536,2.1,0.324921,0.000206
"23",0.10536,2.2,0.340579,0.000232
"24",0.10536,2.3,0.353533,0.000258
"25",0.10536,2.4,0.365222,0.000286
"26",0.10536,2.5,0.380181,0.000316
"27",0.10536,2.6,0.391722,0.000347
"28",0.10536,2.7,0.408966,0.000378
"29",0.10536,2.8,0.420841,0.000412
"30",0.10536,2.9,0.434512,0.000444
"31",0.10536,3,0.447359,0.000476
"32",0.10536,3.1,0.460949,0.000508
"33",0.10536,3.2,0.478312,0.00054
"34",0.10536,3.3,0.489424,0.000571
"35",0.10536,3.4,0.5031,0.000602
"36",0.10536,3.5,0.514206,0.000631
"37",0.10536,3.6,0.530769,0.000658
"38",0.10536,3.7,0.544144,0.000685
"39",0.10536,3.8,0.556627,0.000708
"40",0.10536,3.9,0.570338,0.000729
"41",0.10536,4,0.578139,0.000742
"42",0.22314,0,0.109641,4e-06
"43",0.22314,0.1,0.117146,5e-06
"44",0.22314,0.2,0.124963,7e-06
"45",0.22314,0.3,0.132913,9e-06
"46",0.22314,0.4,0.141175,1.1e-05
"47",0.22314,0.5,0.149773,1.4e-05
"48",0.22314,0.6,0.158613,1.8e-05
"49",0.22314,0.7,0.167537,2.2e-05
"50",0.22314,0.8,0.176632,2.7e-05
"51",0.22314,0.9,0.186575,3.3e-05
"52",0.22314,1,0.195962,3.9e-05
"53",0.22314,1.1,0.205865,4.7e-05
"54",0.22314,1.2,0.2179,5.6e-05
"55",0.22314,1.3,0.227168,6.6e-05
"56",0.22314,1.4,0.238231,7.8e-05
"57",0.22314,1.5,0.25068,9.1e-05
"58",0.22314,1.6,0.260446,0.000106
"59",0.22314,1.7,0.27431,0.000122
"60",0.22314,1.8,0.285165,0.000141
"61",0.22314,1.9,0.296845,0.000161
"62",0.22314,2,0.310943,0.000183
"63",0.22314,2.1,0.321297,0.000206
"64",0.22314,2.2,0.336317,0.000232
"65",0.22314,2.3,0.348887,0.000258
"66",0.22314,2.4,0.36126,0.000286
"67",0.22314,2.5,0.375058,0.000316
"68",0.22314,2.6,0.38643,0.000346
"69",0.22314,2.7,0.402936,0.000378
"70",0.22314,2.8,0.414599,0.00041
"71",0.22314,2.9,0.428675,0.000442
"72",0.22314,3,0.440848,0.000474
"73",0.22314,3.1,0.453773,0.000506
"74",0.22314,3.2,0.470883,0.000539
"75",0.22314,3.3,0.482007,0.000571
"76",0.22314,3.4,0.494469,0.000603
"77",0.22314,3.5,0.505034,0.000633
"78",0.22314,3.6,0.521855,0.000662
"79",0.22314,3.7,0.534854,0.00069
"80",0.22314,3.8,0.547314,0.000718
"81",0.22314,3.9,0.559133,0.000744
"82",0.22314,4,0.56669,0.000758
"83",0.35667,0,0.108858,4e-06
"84",0.35667,0.1,0.116268,5e-06
"85",0.35667,0.2,0.123874,7e-06
"86",0.35667,0.3,0.131595,9e-06
"87",0.35667,0.4,0.139766,1.1e-05
"88",0.35667,0.5,0.148052,1.5e-05
"89",0.35667,0.6,0.156588,1.8e-05
"90",0.35667,0.7,0.165194,2.3e-05
"91",0.35667,0.8,0.1742,2.8e-05
"92",0.35667,0.9,0.184162,3.4e-05
